Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",Gražvydas Kirvaitis,"=""0060929871""","=""9780060929879""",5,3.99,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,,2013/06/12,,,read,,,,1,,,0,,,,,
5470,1984,George Orwell,"Orwell, George",Erich Fromm,"=""""","=""""",5,4.18,New American Library,Mass Market Paperback,328,1950,1949,,2013/05/29,,,read,,,,1,,,0,,,,,
14935,Sense and Sensibility,Jane Austen,"Austen, Jane","Tony Tanner, Ros Ballaster","=""""","=""""",5,4.07,Penguin Books,Paperback,409,2003,1811,,2013/05/21,classics,classics (#2),read,,,,1,,,0,,,,,
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte","Michael Mason, Barnett Freedman","=""0142437204""","=""9780142437209""",5,4.13,Penguin,Paperback,532,2003,1847,,2013/05/21,classics,classics (#21),read,,,,1,,,0,,,,,
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",5,4.26,Modern Library,Paperback,279,2000,1813,,2013/05/21,classics,classics (#1),read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.47,Scholastic Inc,Hardcover,309,2003,1997,2001/01/01,2008/03/29,,,read,,,,1,,,0,,,,,
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618260307""","=""9780618260300""",5,4.27,Houghton Mifflin,Paperback,366,2002,1937,,2013/05/29,,,read,,,,1,,,0,,,,,
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618346252""","=""9780618346257""",5,4.36,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2013/06/12,,,read,,,,1,,,0,,,,,
1869,Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,"Ehrenreich, Barbara",,"=""0805063897""","=""9780805063899""",4,3.63,Owl Books (Henry Holt),Paperback,240,2002,2001,2003/01/01,2008/03/29,book-club,book-club (#6),read,,,,1,,,0,,,,,
1845,Into the Wild,Jon Krakauer,"Krakauer, Jon",,"=""0385486804""","=""9780385486804""",4,3.99,Anchor Books,Paperback,207,1997,1996,,2008/03/29,,,read,,,,1,,,0,,,,,
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,"Krakauer, Jon",,"=""0385494785""","=""9780385494786""",5,4.18,Anchor Books,Paperback,368,1999,1997,2003/01/01,2008/04/12,book-club,book-club (#19),read,,,,1,,,0,,,,,
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",5,4.07,Vintage,Paperback,343,1994,1965,,2013/06/12,,,read,,,,1,,,0,,,,,
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Barbara Mooyaart-Doubleday","=""""","=""""",4,4.15,Bantam,Mass Market Paperback,283,1993,1947,,2013/06/12,,,read,,,,1,,,0,,,,,
